time taken in seconds: N = 700.
STL, Linked List, HEAP, 
0.00156403,0.00258075,0.00166337,
0.00186851,0.00204276,0.00164027,
0.00189588,0.00248773,0.00156713,
0.00229628,0.00513971,0.00143672,
0.00183151,0.00197277,0.00126155,
0.00160448,0.00176097,0.00193874,
0.00200535,0.00229435,0.0014419,
0.00209818,0.00223772,0.00157632,
0.00180711,0.00548747,0.00235997,
0.00217526,0.00230581,0.00146195,
0.0016782,0.00176829,0.0013355,
0.00194039,0.00337403,0.00177811,
0.00212541,0.0023442,0.00156971,
0.0020355,0.00358965,0.00192786,
0.00205229,0.00255852,0.00152718,
0.0017766,0.00185927,0.0012973,
0.00161456,0.00287065,0.00172858,
0.0017081,0.00244946,0.00197922,
0.00176566,0.0025848,0.00162014,
0.00287065,0.00227159,0.00127591,
0.00169405,0.00238914,0.00145875,
0.00180018,0.00183807,0.00157206,
0.00205841,0.00298884,0.00132456,
0.00191119,0.00227574,0.00144681,
0.00182464,0.00217902,0.00269119,
0.00264026,0.00182966,0.00127772,
0.00177832,0.00224177,0.00144458,
0.00163853,0.0021216,0.00275627,
0.00217896,0.00255994,0.0016879,
0.00188664,0.00217508,0.00158336,
0.00325324,0.00256493,0.00127973,
0.00170189,0.00237157,0.00146213,
0.0017924,0.00185454,0.00139709,
0.00240701,0.0028308,0.00133891,
0.0023146,0.00249052,0.00146814,
0.00183162,0.00303194,0.00169766,
0.00203401,0.00176486,0.0016927,
0.00184433,0.00221357,0.00150027,
0.00162484,0.00201201,0.00153694,
0.00195727,0.00291564,0.00187968,
0.00205299,0.00228182,0.00142666,
0.00235365,0.00364091,0.00126578,
0.00164562,0.00248318,0.00156943,
0.00177311,0.00198892,0.00153835,
0.00216336,0.0032086,0.00136391,
0.00227646,0.00216162,0.00145217,
0.00174293,0.0036649,0.0026001,
0.00164237,0.0020999,0.00163408,
0.00178907,0.00234018,0.00141116,
0.00201007,0.00334443,0.00148889,
0.00168626,0.00273777,0.00146294,
0.00196388,0.00264887,0.00208159,
0.0030699,0.00197013,0.00161456,
0.00202405,0.00296536,0.0015559,
0.00196594,0.00369373,0.00227435,
0.00210158,0.00343812,0.0017499,
0.00211204,0.00517951,0.00151559,
0.00188932,0.00239823,0.00163705,
0.00212345,0.00301725,0.00211152,
0.00216447,0.00350473,0.00222668,
0.00224071,0.00281032,0.00266683,
0.00303815,0.00228221,0.00188604,
0.00245724,0.00273097,0.00167159,
0.00241629,0.00414375,0.00159853,
0.00236484,0.0030851,0.00215908,
0.00277508,0.00445106,0.00218972,
0.00271527,0.00299628,0.00177651,
0.00238173,0.00321804,0.00222637,
0.00223732,0.00355854,0.00257212,
0.00295039,0.00469534,0.00172041,
0.00211081,0.00261595,0.00145063,
0.0016594,0.0018829,0.00168747,
0.00240503,0.0019262,0.00164644,
0.00159498,0.00175177,0.00134451,
0.00159177,0.00242761,0.00205477,
0.00231942,0.00289807,0.00151016,
0.00180865,0.00199666,0.00127787,
0.00158223,0.00193086,0.0018589,
0.00249633,0.00257506,0.00167605,
0.00179125,0.00205532,0.00132312,
0.00178097,0.00477086,0.00202959,
0.00181398,0.00213304,0.00164053,
0.00160155,0.00181855,0.00139381,
0.0021585,0.00236873,0.00132365,
0.00183662,0.00175455,0.00128765,
0.00158286,0.00184631,0.00136053,
0.00321157,0.00308071,0.00150308,
0.00195225,0.00222732,0.00141698,
0.00157121,0.00191938,0.00147246,
0.00302903,0.00229155,0.00142737,
0.00182524,0.00232465,0.00153014,
0.00158725,0.00517574,0.00166706,
0.00181588,0.00214862,0.00144839,
0.00169213,0.00178832,0.00128758,
0.00170431,0.00410685,0.00131674,
0.00180499,0.00264076,0.00142939,
0.00174044,0.00185569,0.00242134,
0.00313768,0.00273338,0.00150346,
0.00185016,0.00203055,0.00127774,
0.00158456,0.00185543,0.00180345,
0.00208804,0.00213357,0.00155887,
0.00180214,0.00212524,0.00147633,
0.00158685,0.00442616,0.00211378,
